Period (s), Velocity (km/s), Mode
0.1, 0.24450218641176044, 0
0.119, 0.2445020338238698, 0
0.138, 0.24450218641176044, 0
0.158, 0.2445020338238698, 0
0.177, 0.24450218641176044, 0
0.196, 0.2445020338238698, 0
0.215, 0.24450218641176044, 0
0.234, 0.2445020338238698, 0
0.254, 0.24450218641176044, 0
0.273, 0.2445020338238698, 0
0.292, 0.24450218641176044, 0
0.311, 0.2445020338238698, 0
0.33, 0.24450218641176044, 0
0.349, 0.2445020338238698, 0
0.369, 0.24450218641176044, 0
0.388, 0.2445020338238698, 0
0.407, 0.24450218641176044, 0
0.426, 0.2445020338238698, 0
0.445, 0.24450218641176044, 0
0.465, 0.2445020338238698, 0
0.484, 0.24450218641176044, 0
0.503, 0.2445020338238698, 0
0.522, 0.24450218641176044, 0
0.541, 0.2445020338238698, 0
0.561, 0.24450218641176044, 0
0.58, 0.2445020338238698, 0
0.599, 0.24450218641176044, 0
0.618, 0.2445020338238698, 0
0.637, 0.24450218641176044, 0
0.657, 0.2445020338238698, 0
0.676, 0.24450218641176044, 0
0.695, 0.2445020338238698, 0
0.714, 0.24450218641176044, 0
0.733, 0.2445020338238698, 0
0.753, 0.24450218641176044, 0
0.772, 0.2445020338238698, 0
0.791, 0.24450218641176044, 0
0.81, 0.2445020338238698, 0
0.829, 0.24450218641176044, 0
0.848, 0.2445020338238698, 0
0.868, 0.24450218641176044, 0
0.887, 0.2445020338238698, 0
0.906, 0.24450218641176044, 0
0.925, 0.2445020338238698, 0
0.944, 0.24450218641176044, 0
0.964, 0.2445020338238698, 0
0.983, 0.24450218641176044, 0
1.002, 0.2445020338238698, 0
1.021, 0.24450218641176044, 0
1.04, 0.2445020338238698, 0
1.06, 0.24450218641176044, 0
1.079, 0.2445020338238698, 0
1.098, 0.24450218641176044, 0
1.117, 0.2445020338238698, 0
1.136, 0.24450218641176044, 0
1.156, 0.2445020338238698, 0
1.175, 0.24450218641176044, 0
1.194, 0.2445020338238698, 0
1.213, 0.24450218641176044, 0
1.232, 0.2445020338238698, 0
1.252, 0.24450218641176044, 0
1.271, 0.2445020338238698, 0
1.29, 0.24450218641176044, 0
1.309, 0.2445020338238698, 0
1.328, 0.24450218641176044, 0
1.347, 0.2445020338238698, 0
1.367, 0.24450218641176044, 0
1.386, 0.2445020338238698, 0
1.405, 0.24450218641176044, 0
1.424, 0.2445020338238698, 0
1.443, 0.24450218641176044, 0
1.463, 0.2445020338238698, 0
1.482, 0.24450218641176044, 0
1.501, 0.2445020338238698, 0
1.52, 0.24450218641176044, 0
1.539, 0.2445020338238698, 0
1.559, 0.24450218641176044, 0
1.578, 0.2445020338238698, 0
1.597, 0.24450218641176044, 0
1.616, 0.2445020338238698, 0
1.635, 0.24450218641176044, 0
1.655, 0.2445020338238698, 0
1.674, 0.24450218641176044, 0
1.693, 0.2445020338238698, 0
1.712, 0.24450218641176044, 0
1.731, 0.2445020338238698, 0
1.751, 0.24450218641176044, 0
1.77, 0.2445020338238698, 0
1.789, 0.24450218641176044, 0
1.808, 0.2445020338238698, 0
1.827, 0.24450218641176044, 0
1.846, 0.2445020338238698, 0
1.866, 0.24450218641176044, 0
1.885, 0.2445020338238698, 0
1.904, 0.24450218641176044, 0
1.923, 0.2445020338238698, 0
1.942, 0.24450218641176044, 0
1.962, 0.2445020338238698, 0
1.981, 0.24450218641176044, 0
2.0, 0.2445020338238698, 0
