Period (s), Velocity (km/s), Mode
0.1, 0.40383736097230744, 0
0.119, 0.4054660841168387, 0
0.138, 0.4073664137066824, 0
0.158, 0.4095890089215262, 0
0.177, 0.4117243238629325, 0
0.196, 0.4134500929059013, 0
0.215, 0.4140015455426201, 0
0.234, 0.4128061720074638, 0
0.254, 0.41005806409730755, 0
0.273, 0.40675270521058887, 0
0.292, 0.40313728773012014, 0
0.311, 0.39938637220277634, 0
0.33, 0.39690803968324506, 0
0.349, 0.3942221876324638, 0
0.369, 0.39146309339418256, 0
0.388, 0.3889719434918388, 0
0.407, 0.38662483655824503, 0
0.426, 0.3844211622418387, 0
0.445, 0.38235603773012, 0
0.465, 0.38032204114808876, 0
0.484, 0.37851387464418246, 0
0.503, 0.37681557142152616, 0
0.522, 0.3752198072613699, 0
0.541, 0.37371742689027615, 0
0.561, 0.37222786390199486, 0
0.58, 0.3708933302105885, 0
0.599, 0.36962959730043227, 0
0.618, 0.3684317823590259, 0
0.637, 0.3672931715191821, 0
0.657, 0.3661539503277758, 0
0.676, 0.36512276136293204, 0
0.695, 0.36413734876527576, 0
0.714, 0.3631946607769944, 0
0.733, 0.36229042493715063, 0
0.753, 0.3613776441754319, 0
0.772, 0.3605435987652756, 0
0.791, 0.35974007093324434, 0
0.81, 0.35896461927308815, 0
0.829, 0.35821541273011936, 0
0.848, 0.3574906202496506, 0
0.868, 0.3567511793316819, 0
0.887, 0.3560703321637132, 0
0.906, 0.355408405894182, 0
0.925, 0.3547647901715258, 0
0.944, 0.35413826429261946, 0
0.964, 0.3534958692730882, 0
0.983, 0.3529004713238694, 0
1.002, 0.3523185011090257, 0
1.021, 0.35174995862855696, 0
1.04, 0.3511942335309007, 0
1.06, 0.35062080823793196, 0
1.079, 0.35008766614808823, 0
1.098, 0.34956490003480695, 0
1.117, 0.34905189954652566, 0
1.136, 0.34854866468324436, 0
1.156, 0.3480277296246506, 0
1.175, 0.3475415846051193, 0
1.194, 0.34706337415590055, 0
1.213, 0.3465930982769943, 0
1.232, 0.3461301466168381, 0
1.252, 0.34565010511293176, 0
1.271, 0.3452005811871505, 0
1.29, 0.3447577711285568, 0
1.309, 0.34432167493715055, 0
1.328, 0.3438910719098068, 0
1.347, 0.3434659620465255, 0
1.367, 0.3430243726910568, 0
1.386, 0.3426108595074631, 0
1.405, 0.34220161878480687, 0
1.424, 0.34179787122621313, 0
1.443, 0.3413990064801194, 0
1.463, 0.3409836622418381, 0
1.482, 0.3405945631207444, 0
1.501, 0.3402091261090256, 0
1.52, 0.3398279615582443, 0
1.539, 0.3394510694684005, 0
1.559, 0.3390583082379317, 0
1.578, 0.33868996106996296, 0
1.597, 0.33832466565980673, 0
1.616, 0.33796364271058793, 0
1.635, 0.3376056715191816, 0
1.655, 0.33723305189027525, 0
1.674, 0.33688240491761895, 0
1.693, 0.33653542005433773, 0
1.712, 0.336191486948869, 0
1.731, 0.33585060560121277, 0
1.751, 0.335495686167619, 0
1.77, 0.3351615186871503, 0
1.789, 0.334830402964494, 0
1.808, 0.33450233899965026, 0
1.827, 0.33417671644105656, 0
1.846, 0.3338541456402753, 0
1.866, 0.3335181471051191, 0
1.885, 0.3332010694684004, 0
1.904, 0.3328870435894941, 0
1.923, 0.3325754591168379, 0
1.942, 0.3322669264019941, 0
1.962, 0.3319443556012129, 0
1.981, 0.3316407056988691, 0
2.0, 0.33134010755433785, 0
0.1, 0.42180331556215117, 1
0.119, 0.43089602796449494, 1
0.138, 0.4389712843121512, 1
0.158, 0.4416363844098074, 1
0.177, 0.43997104017152616, 1
0.196, 0.4375757154644949, 1
0.215, 0.43659274427308864, 1
0.234, 0.43811953870668235, 1
0.254, 0.44217257825746353, 1
0.273, 0.44744265882386985, 1
0.292, 0.4537613233746511, 1
0.311, 0.4603576978863699, 1
0.33, 0.4667483839215261, 1
0.349, 0.4726416334332449, 1
0.369, 0.47825045911683867, 1
0.388, 0.4830963453473074, 1
0.407, 0.4875754102887137, 1
0.426, 0.4917706617535575, 1
0.445, 0.4957419141949638, 1
0.465, 0.499724152964495, 1
0.484, 0.5033493360699639, 1
0.503, 0.506840852183245, 1
0.522, 0.5102139600934014, 1
0.541, 0.5134820875348076, 1
0.561, 0.5168204054059011, 1
0.58, 0.5199048170269946, 1
0.599, 0.5229135450543383, 1
0.618, 0.5258545240582446, 1
0.637, 0.5287356886090258, 1
0.657, 0.5317114576519943, 1
0.676, 0.5344919141949629, 1
0.695, 0.5372339185894941, 1
0.714, 0.5399441847027753, 1
0.733, 0.5426282056988689, 1
0.753, 0.5454336866559002, 1
0.772, 0.5480853590191814, 1
0.791, 0.5507309278668375, 1
0.81, 0.553377107066056, 1
0.829, 0.5560306104840247, 1
0.848, 0.558696931284806, 1
0.868, 0.5615274366558995, 1
0.887, 0.5642462476910558, 1
0.906, 0.5670035108746496, 1
0.925, 0.5698077711285559, 1
0.944, 0.572670625132462, 1
0.964, 0.5757599195660557, 1
0.983, 0.5787826856793368, 1
1.002, 0.5819073805035555, 1
1.021, 0.5851541456402742, 1
1.04, 0.5885467848004305, 1
1.06, 0.5923099073590243, 1
1.079, 0.5961072096051179, 1
1.098, 0.6001712354840241, 1
1.117, 0.6045697340191803, 1
1.136, 0.609393647593399, 1
1.156, 0.6150766309918364, 1
1.175, 0.621258881968399, 1
1.194, 0.6285385450543364, 1
1.213, 0.6375027784527739, 1
1.232, 0.6494028028668366, 1
1.252, 0.6692654737652742, 1
0.1, 0.44856565687074496, 2
0.119, 0.4518350050152762, 2
0.138, 0.4562957594098075, 2
0.158, 0.45975919935121384, 2
0.177, 0.46172178480043263, 2
0.196, 0.4645138380230888, 2
0.215, 0.46805174085512, 2
0.234, 0.4722872755230888, 2
0.254, 0.4776342603863701, 2
0.273, 0.48387907239808886, 2
0.292, 0.49181638929262017, 2
0.311, 0.5022653028668389, 2
0.33, 0.5162133619488702, 2
0.349, 0.5345968458355892, 2
0.369, 0.559446394175433, 2
0.388, 0.5882455274762142, 2
0.407, 0.6208645460309016, 2
0.426, 0.655159589976214, 2
0.445, 0.6894790479840266, 2
0.465, 0.7252438184918392, 2
0.484, 0.7594119093121517, 2
0.503, 0.7945712110699642, 2
